SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2013-14,Duke,ACC,17,0,80,5.4,10.7,0.5,2.3,5.4,0.429,3.1,5.4,0.571,7.7,8.4,0.909,11.5,1.5,3.1,3.1,3.8,4.6,21.4,132.7,100.7,Semi Ojeleye,semi-ojeleye-1
2014-15,Duke,ACC,6,0,63,4.8,17.3,0.278,1,1.9,0.5,3.9,15.4,0.25,3.9,6.7,0.571,13.5,1,2.9,0,0,10.6,17.3,110.4,94.1,Semi Ojeleye,semi-ojeleye-1
2016-17,SMU,AAC,35,35,1195,11,22.6,0.487,7.2,13.6,0.529,3.8,9,0.424,9,11.5,0.785,12.6,2.8,0.8,0.7,2.6,3.3,34.9,131.8,98,Semi Ojeleye,semi-ojeleye-1
Career,Overall,,58,35,1338,10.4,21.7,0.479,6.6,12.5,0.526,3.8,9.1,0.415,8.7,11.1,0.785,12.6,2.6,1,0.8,2.6,3.7,33.3,131.2,98,Semi Ojeleye,semi-ojeleye-1
2008-09,Liberty,Big South,35,34,1277,,,0.417,,,0.488,,,0.347,,,0.832,,,,,,,,,,Seth Curry,seth-curry-1
2010-11,Duke,ACC,37,19,924,6.2,14.7,0.423,2.3,5.7,0.402,3.9,9.1,0.435,4.1,5.2,0.788,4.1,4.6,3.2,0.3,2.2,3.9,20.5,125.8,95.3,Seth Curry,seth-curry-1
2011-12,Duke,ACC,34,32,1026,8,19.2,0.42,4.4,9.6,0.456,3.7,9.5,0.383,5.9,6.7,0.873,5.1,4.7,2.5,0.4,3.9,4.2,25.6,115.5,103.9,Seth Curry,seth-curry-1
2012-13,Duke,ACC,35,35,1130,10.2,22,0.465,5.3,10.7,0.493,4.9,11.3,0.438,6.4,7.9,0.809,4.6,2.8,1.6,0.3,2.2,3.1,31.8,124.8,102.4,Seth Curry,seth-curry-1
Career,Overall,,141,120,4357,8.3,18.8,0.431,4.1,8.8,0.472,4.2,10,0.394,5.5,6.7,0.827,4.6,4,2.4,0.3,2.8,3.7,26.3,121.7,100.7,Seth Curry,seth-curry-1
2012-13,UCLA,Pac-12,32,30,987,11.8,26.6,0.443,9.4,20.4,0.463,2.3,6.2,0.377,7.5,10.5,0.711,9.7,1.6,1.3,0.2,3,3.1,33.3,110.1,105.4,Shabazz Muhammad,shabazz-muhammad-1
Career,UCLA,,32,30,987,11.8,26.6,0.443,9.4,20.4,0.463,2.3,6.2,0.377,7.5,10.5,0.711,9.7,1.6,1.3,0.2,3,3.1,33.3,110.1,105.4,Shabazz Muhammad,shabazz-muhammad-1
2010-11,UConn,Big East,41,0,976,6.3,17,0.37,3.4,8.1,0.419,2.9,8.9,0.326,4.7,6,0.771,6.2,7.8,4.2,0.3,4.7,4.5,20.2,105.2,98.4,Shabazz Napier,shabazz-napier-1
2011-12,UConn,Big East,34,31,1191,7.1,18.3,0.389,4,9.6,0.418,3.1,8.7,0.355,5.8,7.8,0.743,6.3,10.4,2.9,0.5,4.9,4.6,23.1,109.9,103.3,Shabazz Napier,shabazz-napier-1
2012-13,UConn,Big East,28,27,1043,8.6,19.6,0.441,4.6,9.5,0.488,4,10.1,0.398,7,8.5,0.819,7.3,7.6,3.3,0.2,4,3.4,28.3,118.2,98.6,Shabazz Napier,shabazz-napier-1
2013-14,UConn,AAC,40,40,1404,9.3,21.6,0.429,5.5,12.2,0.448,3.8,9.3,0.405,9,10.3,0.87,10.2,8.5,3.2,0.6,5,3.7,31.3,118.9,94.9,Shabazz Napier,shabazz-napier-1
Career,UConn,,143,98,4614,7.9,19.3,0.411,4.5,10.1,0.444,3.5,9.3,0.375,6.8,8.4,0.813,7.7,8.6,3.4,0.4,4.7,4,26.2,114,98.6,Shabazz Napier,shabazz-napier-1
2017-18,Kentucky,SEC,37,24,1248,8.4,17.3,0.485,7.3,14.7,0.5,1.1,2.6,0.404,6.6,8,0.817,7,8.7,2.8,0.8,4.6,2.8,24.4,116.5,101.8,Shai Gilgeous-Alexander,shai-gilgeous-alexander-1
Career,Kentucky,,37,24,1248,8.4,17.3,0.485,7.3,14.7,0.5,1.1,2.6,0.404,6.6,8,0.817,7,8.7,2.8,0.8,4.6,2.8,24.4,116.5,101.8,Shai Gilgeous-Alexander,shai-gilgeous-alexander-1
2015-16,SMU,AAC,30,23,980,7,14.6,0.477,3.8,7.1,0.53,3.2,7.5,0.426,2.3,3.2,0.725,5.5,5.1,1.5,0.5,2.8,2.7,19.5,120.8,101.4,Shake Milton,malik-milton-1
2016-17,SMU,AAC,35,35,1239,7.7,17.6,0.437,3.5,7.8,0.455,4.2,9.8,0.423,3.5,4.6,0.758,7.3,8.1,2.2,0.6,3.2,2.7,23.1,122.6,96.5,Shake Milton,malik-milton-1
2017-18,SMU,AAC,22,22,800,9.5,21.3,0.449,5.2,11.3,0.462,4.3,10,0.434,7.3,8.6,0.847,8,7.4,2.4,1.1,3.9,2.9,30.7,122.8,100.4,Shake Milton,malik-milton-1
Career,SMU,,87,80,3019,8,17.6,0.452,4.1,8.5,0.478,3.9,9.1,0.427,4.1,5.2,0.791,6.9,6.9,2,0.7,3.3,2.8,23.9,122.2,99.2,Shake Milton,malik-milton-1
2011-12,Miami (FL),ACC,32,19,820,5.5,15.2,0.36,3.1,7.8,0.394,2.4,7.4,0.323,4.5,5.2,0.857,6,6.1,3.7,0.1,4.5,3.9,17.8,100.4,100.5,Shane Larkin,shane-larkin-1
2012-13,Miami (FL),ACC,36,35,1311,8.7,18.2,0.479,5.4,10.1,0.538,3.3,8.1,0.406,4.2,5.3,0.777,6.6,7.8,3.4,0.2,3.9,2.8,24.9,119.2,95.9,Shane Larkin,shane-larkin-1
Career,Miami (FL),,68,54,2131,7.5,17.1,0.438,4.5,9.2,0.491,2.9,7.8,0.375,4.3,5.3,0.808,6.4,7.1,3.5,0.2,4.1,3.2,22.2,112.5,97.7,Shane Larkin,shane-larkin-1
2012-13,Tulsa,CUSA,33,33,889,4.8,12.8,0.373,4.5,11,0.41,0.3,1.8,0.148,5.2,8.1,0.639,8.2,6.2,3.7,0.9,5.3,5.4,15,87.8,97.7,Shaquille Harrison,shaquille-harrison-1
2013-14,Tulsa,CUSA,34,34,1026,5.9,13.2,0.446,5.4,11.5,0.473,0.5,1.7,0.267,6.2,9.1,0.681,7.4,6.2,3.5,0.5,4.4,4.3,18.4,101.8,97.3,Shaquille Harrison,shaquille-harrison-1
2014-15,Tulsa,AAC,34,34,1069,9.5,21.2,0.449,8.8,18,0.487,0.8,3.2,0.236,6.3,10,0.632,10.1,7.3,3.9,1.2,4.7,4.8,26.1,102.7,90,Shaquille Harrison,shaquille-harrison-1
2015-16,Tulsa,AAC,32,32,1033,9.8,20.6,0.474,9.3,18.3,0.509,0.5,2.3,0.195,7.1,11.3,0.632,10,7.4,3.4,0.4,3.8,3.9,27.2,108.7,98,Shaquille Harrison,shaquille-harrison-1
Career,Tulsa,,133,133,4017,7.6,17.1,0.444,7.1,14.8,0.479,0.5,2.3,0.216,6.2,9.7,0.645,8.9,6.8,3.6,0.7,4.5,4.6,21.9,101.5,95.7,Shaquille Harrison,shaquille-harrison-1
2012-13,Louisiana,Sun Belt,33,32,1025,10.7,24.9,0.43,8.9,19.1,0.467,1.8,5.8,0.311,4.8,7,0.693,18.5,1.8,1.5,3.6,4.7,5.2,28.1,99,96.6,Shawn Long,shawn-long-1
2013-14,Louisiana,Sun Belt,34,32,999,13.5,25.8,0.522,11.6,21.4,0.542,1.9,4.4,0.423,6.8,10,0.674,19.9,1.1,1.3,5.1,4.1,6.7,35.5,117.9,97.5,Shawn Long,shawn-long-1
2014-15,Louisiana,Sun Belt,34,34,951,12,22.2,0.542,10.4,17.7,0.588,1.6,4.5,0.364,7.1,10.7,0.659,20.3,2.9,1.3,3.3,4.6,6.2,32.8,117.3,92.1,Shawn Long,shawn-long-1
2015-16,Louisiana,Sun Belt,34,33,1042,12.4,23.7,0.524,11.5,20.1,0.569,1,3.6,0.269,8.6,12.6,0.681,22,2.5,1.3,3.3,4.9,5.1,34.4,116.8,96,Shawn Long,shawn-long-1
Career,Louisiana,,135,131,4017,12.2,24.2,0.503,10.6,19.6,0.541,1.6,4.6,0.341,6.8,10.1,0.676,20.2,2.1,1.3,3.8,4.6,5.8,32.7,112.6,95.6,Shawn Long,shawn-long-1
2009-10,Western Michigan,MAC,16,0,94,5.7,14,0.409,5.7,14,0.409,0,0,,2.6,6.4,0.4,16,0,2.6,0.6,4.5,8.9,14,85.6,100,Shayne Whittington,shayne-whittington-1
2011-12,Western Michigan,MAC,32,8,452,6.8,12.6,0.543,6.8,12.6,0.543,0,0,,4.4,6.4,0.688,17.3,0.9,1.1,3.2,2.7,8.7,18.1,116.6,101.9,Shayne Whittington,shayne-whittington-1
2012-13,Western Michigan,MAC,35,35,1041,9.9,19.7,0.503,9.8,18.8,0.52,0.1,0.9,0.133,7.4,9.3,0.796,18.2,2.4,1.5,3.4,3.8,5,27.3,115,92.4,Shayne Whittington,shayne-whittington-1
2013-14,Western Michigan,MAC,31,31,987,11.5,21.8,0.527,11.1,19.7,0.562,0.4,2,0.182,7.1,9.3,0.77,16.8,2.1,1.5,2.9,3.5,4.5,30.4,117.1,96.3,Shayne Whittington,shayne-whittington-1
Career,Western Michigan,,114,74,2574,9.8,19,0.515,9.6,17.9,0.538,0.2,1.1,0.167,6.6,8.7,0.76,17.4,1.9,1.4,3.1,3.5,5.6,26.4,115.2,95.9,Shayne Whittington,shayne-whittington-1
2011-12,Texas,Big 12,34,9,879,8.8,19.7,0.448,6.4,11.9,0.537,2.4,7.7,0.31,6.1,8.1,0.756,7.6,1.4,2.4,0.2,2,2.3,26.1,120.8,103.8,Sheldon Mac,sheldon-mcclellan-1
2012-13,Texas,Big 12,34,15,929,8.8,23,0.382,6.7,15.2,0.438,2.1,7.8,0.273,10,12,0.833,8.5,1.9,1.8,0.2,3.7,1.8,29.7,107.7,100.5,Sheldon Mac,sheldon-mcclellan-1
2014-15,Miami (FL),ACC,38,38,1278,9.6,19.9,0.484,6.9,12.3,0.561,2.7,7.6,0.358,5.6,6.8,0.824,8.9,3.7,1.7,0.4,2.5,3,27.5,121,101.9,Sheldon Mac,sheldon-mcclellan-1
2015-16,Miami (FL),ACC,35,34,1151,9.3,18.4,0.504,6.3,11.2,0.568,2.9,7.2,0.406,8.4,10,0.838,5.9,2.9,1.9,0.5,2.3,3.3,29.9,130.8,105.3,Sheldon Mac,sheldon-mcclellan-1
Career,Overall,,141,96,4237,9.2,20.1,0.455,6.6,12.6,0.525,2.6,7.6,0.34,7.5,9.1,0.818,7.7,2.6,1.9,0.3,2.6,2.6,28.4,120,102.9,Sheldon Mac,sheldon-mcclellan-1
2008-09,Butler,Horizon,32,32,982,,,0.391,,,0.474,,,0.326,,,0.757,,,,,,,,,,Shelvin Mack,shelvin-mack-1
2009-10,Butler,Horizon,38,38,1173,10.2,22.5,0.454,6.4,12.7,0.502,3.8,9.8,0.391,4.3,5.8,0.734,7.6,6.1,2.8,0.3,4.2,3.8,28.5,110.8,93.8,Shelvin Mack,shelvin-mack-1
2010-11,Butler,Horizon,38,37,1219,10.2,25.1,0.408,5.8,12.6,0.462,4.4,12.5,0.354,6.1,7.9,0.769,8.6,6.7,1.5,0.2,4.7,3.4,31,109.9,100.9,Shelvin Mack,shelvin-mack-1
Career,Butler,,108,107,3374,10.2,23.8,0.419,6.1,12.6,0.48,4.1,11.2,0.357,5.2,6.9,0.755,8.1,6.4,2.1,0.2,4.5,3.6,29.8,110.3,97.4,Shelvin Mack,shelvin-mack-1
2012-13,New Mexico State,WAC,35,26,853,10,16.1,0.621,10,16.1,0.621,0,0,,5.3,11.4,0.465,16.8,1.9,0.3,6.1,3.2,5.3,25.3,116.5,92.9,Sim Bhullar,sim-bhullar-1
2013-14,New Mexico State,WAC,30,24,790,9.5,14.6,0.648,9.5,14.6,0.648,0,0,,4.8,8.8,0.538,17.8,3.2,0.2,7.6,4.8,6.3,23.7,115.1,94.5,Sim Bhullar,sim-bhullar-1
Career,New Mexico State,,65,50,1643,9.7,15.4,0.633,9.7,15.4,0.633,0,0,,5.1,10.2,0.496,17.3,2.5,0.3,6.9,3.9,5.8,24.5,115.8,93.7,Sim Bhullar,sim-bhullar-1
2013-14,South Carolina,SEC,34,34,1007,8.5,22,0.386,6.3,16,0.393,2.2,5.9,0.37,7.8,10.6,0.736,8.3,6,2.4,1.2,6.3,5.9,27,100.5,105.9,Sindarius Thornwell,sindarius-thornwell-1
2014-15,South Carolina,SEC,33,33,1011,6.9,20.3,0.34,4.6,11.7,0.394,2.3,8.6,0.268,6.1,8.5,0.716,9.8,4.4,2.6,0.7,4.3,5,22.2,96.3,96,Sindarius Thornwell,sindarius-thornwell-1
2015-16,South Carolina,SEC,34,34,1125,7.2,18.8,0.382,4.9,11.9,0.41,2.3,6.9,0.333,6.1,8,0.764,8.2,6.5,2.5,0.8,3.9,3.3,22.7,108.8,98.2,Sindarius Thornwell,sindarius-thornwell-1
2016-17,South Carolina,SEC,31,31,1051,10.6,23.9,0.444,7.5,15.8,0.471,3.2,8.1,0.392,11.7,14.1,0.83,12,4.7,3.6,1.6,4.1,3.9,36.1,122.2,89,Sindarius Thornwell,sindarius-thornwell-1
Career,South Carolina,,132,132,4194,8.3,21.2,0.392,5.8,13.8,0.42,2.5,7.4,0.339,7.9,10.3,0.771,9.5,5.4,2.8,1.1,4.6,4.5,27,108,97.1,Sindarius Thornwell,sindarius-thornwell-1
2015-16,Kentucky,SEC,36,18,567,10.1,19.6,0.516,10.1,19.4,0.521,0,0.2,0,4.2,6.4,0.661,11.7,1.1,0.9,6.1,3.4,11.2,24.5,107.8,96.9,Skal Labissiere,skal-labissiere-1
Career,Kentucky,,36,18,567,10.1,19.6,0.516,10.1,19.4,0.521,0,0.2,0,4.2,6.4,0.661,11.7,1.1,0.9,6.1,3.4,11.2,24.5,107.8,96.9,Skal Labissiere,skal-labissiere-1
2009-10,Arizona,Pac-10,31,21,785,5.5,11.2,0.49,5.2,9.9,0.526,0.3,1.3,0.222,4.1,5.8,0.705,10.1,3.9,1.4,0.3,4.7,6.4,15.4,99.8,105.6,Solomon Hill,solomon-hill-1
2010-11,Arizona,Pac-10,38,38,957,6.5,13.4,0.486,5.4,10.4,0.524,1.1,3,0.354,4.9,6.2,0.78,11.2,4.1,2,0.4,4,5.4,18.9,113.6,100.9,Solomon Hill,solomon-hill-1
2011-12,Arizona,Pac-12,35,35,1134,8.2,16.4,0.5,6.2,11.2,0.551,2,5.1,0.389,6.1,8.4,0.724,14.7,4.9,1.9,1,4.7,4.9,24.5,113.9,94.2,Solomon Hill,solomon-hill-1
2012-13,Arizona,Pac-12,35,35,1154,8.2,17.9,0.458,5.2,10.3,0.508,3,7.6,0.39,4.9,6.4,0.766,9.7,4.9,2.1,1,4,3.9,24.3,116.3,97.7,Solomon Hill,solomon-hill-1
Career,Arizona,,139,129,4030,7.3,15.1,0.481,5.5,10.5,0.528,1.7,4.6,0.375,5.1,6.8,0.745,11.5,4.5,1.9,0.7,4.3,5,21.3,112.1,99.1,Solomon Hill,solomon-hill-1
2011-12,Colorado,Pac-12,36,36,988,6.1,15.1,0.402,3.5,9.2,0.38,2.6,5.9,0.438,7.4,9,0.816,8,3.9,1.7,0.6,3.1,5.2,22.1,115,98.5,Spencer Dinwiddie,spencer-dinwiddie-1
2012-13,Colorado,Pac-12,33,33,1073,7.4,17.8,0.415,4.7,9.9,0.477,2.7,7.9,0.338,11.2,13.6,0.825,6,5.6,2.5,0.9,4.1,3.7,28.7,119.4,98.5,Spencer Dinwiddie,spencer-dinwiddie-1
2013-14,Colorado,Pac-12,17,17,529,6.9,14.8,0.466,3.9,7.7,0.515,2.9,7.1,0.413,11.5,13.4,0.857,5.9,7.2,2.9,0.5,3.4,3.6,28.2,135.3,102,Spencer Dinwiddie,spencer-dinwiddie-1
Career,Colorado,,86,86,2590,6.8,16.1,0.42,4.1,9.2,0.446,2.7,7,0.386,9.8,11.8,0.83,6.7,5.3,2.3,0.7,3.6,4.2,26.1,121.1,99.2,Spencer Dinwiddie,spencer-dinwiddie-1
2014-15,Arizona,Pac-12,38,37,1081,9.7,21.7,0.446,7.3,15.2,0.478,2.4,6.5,0.371,7.3,9.9,0.742,13.7,3.5,3.2,0.8,4.6,5.6,29.1,111.1,87.6,Stanley Johnson,stanley-johnson-1
Career,Arizona,,38,37,1081,9.7,21.7,0.446,7.3,15.2,0.478,2.4,6.5,0.371,7.3,9.9,0.742,13.7,3.5,3.2,0.8,4.6,5.6,29.1,111.1,87.6,Stanley Johnson,stanley-johnson-1
2015-16,UNLV,MWC,26,24,680,8.1,17,0.477,7.7,15.7,0.492,0.4,1.4,0.294,5,8,0.624,18,1.7,1.1,4.1,4.3,6.3,21.6,98.7,92.7,Stephen Zimmerman,stephen-zimmermanjr-1
Career,UNLV,,26,24,680,8.1,17,0.477,7.7,15.7,0.492,0.4,1.4,0.294,5,8,0.624,18,1.7,1.1,4.1,4.3,6.3,21.6,98.7,92.7,Stephen Zimmerman,stephen-zimmermanjr-1
2013-14,SMU,AAC,37,26,719,5.1,10.8,0.469,3.6,6.8,0.531,1.4,4,0.362,2,3.5,0.571,11.7,3.4,2.3,0.9,3.6,5.1,13.6,102.6,95.3,Sterling Brown,sterling-brown-2
2014-15,SMU,AAC,34,17,814,5,9.5,0.525,3.4,6,0.571,1.6,3.5,0.444,2.3,2.9,0.784,12,5.4,2.3,0.6,2.4,4.9,13.7,127.5,95.4,Sterling Brown,sterling-brown-2
2015-16,SMU,AAC,30,29,816,8.1,13.4,0.602,5.9,9.3,0.632,2.2,4.2,0.536,4,4.7,0.857,9.8,5.9,2.4,1,5,6.7,22.4,122.7,96.6,Sterling Brown,sterling-brown-2
2016-17,SMU,AAC,35,34,1143,8.8,19.3,0.459,5.5,11.8,0.465,3.4,7.5,0.449,4.8,6,0.791,12.5,5.8,2.7,1,3.8,5,25.8,119.6,92.1,Sterling Brown,sterling-brown-2
Career,SMU,,136,106,3492,7,13.9,0.504,4.7,8.8,0.534,2.3,5,0.451,3.4,4.5,0.77,11.6,5.2,2.5,0.9,3.7,5.4,19.7,118.7,94.6,Sterling Brown,sterling-brown-2
2012-13,Pitt,Big East,32,32,749,8.8,15.5,0.571,8.8,15.5,0.571,0,0,,2.7,6.2,0.443,17.9,1.8,1.9,5.7,3.1,4.6,20.4,112.9,87.6,Steven Adams,steven-adams-1
Career,Pitt,,32,32,749,8.8,15.5,0.571,8.8,15.5,0.571,0,0,,2.7,6.2,0.443,17.9,1.8,1.9,5.7,3.1,4.6,20.4,112.9,87.6,Steven Adams,steven-adams-1
2014-15,Kansas,Big 12,26,6,291,5.4,17.5,0.306,2.3,6.8,0.333,3.1,10.7,0.288,1,1.2,0.833,6.4,3.5,1.6,0.2,3.1,3.5,14.8,88.7,102.8,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1
2015-16,Kansas,Big 12,35,0,449,8.6,19,0.45,3.8,7.3,0.526,4.7,11.7,0.402,2.2,3.2,0.68,6,4.1,1.5,0.6,3.3,5.4,24,113.4,101,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1
2016-17,Kansas,Big 12,36,25,984,7.1,16,0.443,3.1,5.9,0.519,4,10,0.398,1.9,2.7,0.702,6.2,2.6,1.8,0.5,2.3,4,20,117,104.4,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1
2017-18,Kansas,Big 12,39,39,1346,8.7,19.9,0.434,3.8,9,0.423,4.9,10.9,0.444,1.9,2.4,0.804,6.5,4.5,1.9,0.5,2.7,4.1,24.1,115.9,106,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1
Career,Kansas,,136,70,3070,7.8,18.3,0.428,3.4,7.6,0.455,4.4,10.7,0.409,1.9,2.5,0.746,6.3,3.7,1.8,0.5,2.7,4.2,21.9,113.5,104.5,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1
2016-17,UCLA,Pac-12,35,35,1048,12.1,19.6,0.617,10.7,16.6,0.644,1.4,3,0.466,3.7,5.5,0.679,14.8,4.4,1.1,2,2.7,4.6,29.3,130.6,101.2,T.J. Leaf,tj-leaf-1
Career,UCLA,,35,35,1048,12.1,19.6,0.617,10.7,16.6,0.644,1.4,3,0.466,3.7,5.5,0.679,14.8,4.4,1.1,2,2.7,4.6,29.3,130.6,101.2,T.J. Leaf,tj-leaf-1
2010-11,Duquesne,A-10,32,30,979,7.6,15.2,0.498,5.3,9.6,0.554,2.2,5.6,0.402,2.3,3.4,0.683,6.9,8,5.2,0.3,3.2,3.2,19.7,118.1,90.8,T.J. McConnell,tj-mcconnell-1
2011-12,Duquesne,A-10,31,31,1062,7.3,14.4,0.509,5.3,9.6,0.548,2.1,4.8,0.432,2.5,3,0.836,7.3,9.3,4.7,0.4,4.4,2.8,19.3,114,100.4,T.J. McConnell,tj-mcconnell-1
2013-14,Arizona,Pac-12,38,38,1226,6.5,14.3,0.454,4.6,9.2,0.506,1.8,5.1,0.36,1.6,2.5,0.62,6.9,10.3,3.3,0.4,3.4,4.2,16.4,112.8,90.8,T.J. McConnell,tj-mcconnell-1
2014-15,Arizona,Pac-12,38,38,1158,8.1,16.2,0.498,6.8,12.2,0.557,1.3,4,0.321,3,3.6,0.829,7.6,12.4,4.3,0.2,4,3.5,20.5,119.8,88.2,T.J. McConnell,tj-mcconnell-1
Career,Overall,,139,137,4425,7.4,15,0.49,5.5,10.2,0.542,1.8,4.9,0.38,2.4,3.1,0.749,7.2,10.1,4.3,0.3,3.8,3.5,18.9,116.3,92.5,T.J. McConnell,tj-mcconnell-1
2012-13,NC State,ACC,35,14,944,11.5,18.5,0.622,10.6,16.8,0.632,0.9,1.7,0.519,2.4,4.4,0.542,9,1.7,2.6,0.9,2.1,4.8,26.2,127.9,105.4,T.J. Warren,tj-warren-1
2013-14,NC State,ACC,35,35,1238,17,32.5,0.525,15.5,26.7,0.58,1.5,5.8,0.267,7.8,11.3,0.69,12.4,2,3.1,1,4.1,4.8,43.4,116.6,103.6,T.J. Warren,tj-warren-1
Career,NC State,,70,49,2182,14.6,26.2,0.555,13.3,22.3,0.598,1.2,3.9,0.315,5.4,8.2,0.654,10.9,1.9,2.9,1,3.2,4.8,35.7,120.1,104.4,T.J. Warren,tj-warren-1
2012-13,Niagara,MAAC,32,23,635,4.8,12.9,0.369,4.8,12.7,0.374,0,0.2,0,2.2,5,0.436,9.7,7.1,3.5,0.1,6.1,6.3,11.7,81,104.2,Tahjere McCall,tahjere-mccall-1
2013-14,Niagara,MAAC,27,14,612,6.3,15.2,0.413,6.1,13.1,0.466,0.2,2.1,0.083,5.1,7,0.734,7.2,4.7,3,0.6,5.2,7.1,17.9,93,111.3,Tahjere McCall,tahjere-mccall-1
2015-16,Tennessee State,OVC,31,28,932,8.5,18.7,0.455,7.3,14.3,0.511,1.2,4.5,0.278,9.8,12.9,0.756,9.8,5.8,4.5,0.7,6,6.2,28.1,108.2,94.1,Tahjere McCall,tahjere-mccall-1
2016-17,Tennessee State,OVC,27,27,868,8.5,19.6,0.435,7.9,17.1,0.463,0.6,2.5,0.243,8.2,12.9,0.637,9,9.3,5.1,0.9,6.6,6,25.9,101.3,91.6,Tahjere McCall,tahjere-mccall-1
Career,Overall,,117,92,3047,7.3,17,0.427,6.7,14.5,0.462,0.6,2.5,0.23,6.8,10.1,0.677,9,6.8,4.1,0.6,6,6.4,21.9,98.7,99.1,Tahjere McCall,tahjere-mccall-1
2010-11,Memphis,CUSA,35,24,792,8.9,16.9,0.528,8.9,16.9,0.528,0,0,,5.4,9.2,0.587,12.9,0.9,2,4.1,3.4,8.3,23.2,109.8,98.7,Tarik Black,tarik-black-1
2011-12,Memphis,CUSA,35,31,895,9.6,13.9,0.689,9.6,13.9,0.689,0,0,,5.7,9.5,0.594,11.3,0.4,1.5,3.5,3,7.6,24.8,124.6,96.1,Tarik Black,tarik-black-1
2012-13,Memphis,CUSA,32,5,664,8.9,15.2,0.589,8.9,15.2,0.589,0,0,,4.5,10.1,0.448,13.4,1.2,1.9,1.7,3.7,9.1,22.4,104.9,94,Tarik Black,tarik-black-1
2013-14,Kansas,Big 12,33,15,446,9.7,14,0.692,9.7,13.9,0.698,0,0.1,0,4.3,7.2,0.6,16.7,1.2,1.3,2.2,3,12.2,23.7,126.7,99.3,Tarik Black,tarik-black-1
Career,Overall,,135,75,2797,9.2,15.1,0.614,9.2,15.1,0.614,0,0,0,5.1,9.2,0.555,13.1,0.9,1.7,3,3.3,8.9,23.6,115.4,96.8,Tarik Black,tarik-black-1
2012-13,Baylor,Big 12,24,0,154,13.3,22.8,0.583,12.5,20.5,0.611,0.8,2.3,0.333,6.1,8.3,0.727,19.7,1.1,3.4,0.8,4.6,14,33.4,117.3,90.1,Taurean Waller-Prince,taurean-prince-1
2013-14,Baylor,Big 12,38,2,542,9.1,19.5,0.465,7.4,14.8,0.496,1.7,4.7,0.366,7,9.9,0.709,12.1,2.6,2.3,0.8,5.9,9,26.9,104.9,104.4,Taurean Waller-Prince,taurean-prince-1
2014-15,Baylor,Big 12,33,6,868,12.3,26,0.472,7.9,14.8,0.53,4.4,11.2,0.395,4.8,7.4,0.644,13.5,3.1,3.6,2.1,4.9,5.1,33.7,112.8,91.5,Taurean Waller-Prince,taurean-prince-1
2015-16,Baylor,Big 12,34,34,1040,10.6,24.6,0.432,7.6,16.3,0.469,3,8.4,0.361,6.4,8.3,0.774,11.7,4.4,2.4,1.4,5.2,4.9,30.7,109.7,102.7,Taurean Waller-Prince,taurean-prince-1
Career,Baylor,,129,42,2604,11,23.9,0.46,7.9,15.8,0.504,3.1,8.1,0.376,6,8.3,0.718,12.9,3.4,2.8,1.5,5.2,6.4,31.1,110.2,98.7,Taurean Waller-Prince,taurean-prince-1
2010-11,Kentucky,SEC,38,35,1196,10.4,23.6,0.442,9.1,19.6,0.465,1.3,4,0.329,7.9,12.3,0.646,17,3,2.2,3.6,3.8,4.6,30.1,109.1,90.1,Terrence Jones,terrence-jones-1
2011-12,Kentucky,SEC,38,34,1115,9.6,19.1,0.5,8.7,16.5,0.528,0.9,2.7,0.327,5.4,8.5,0.627,14.7,2.8,2.7,3.7,3.4,4.9,25.4,115.3,88.9,Terrence Jones,terrence-jones-1
Career,Kentucky,,76,69,2311,10,21.4,0.467,8.9,18.1,0.493,1.1,3.3,0.328,6.7,10.5,0.638,15.9,2.9,2.4,3.7,3.6,4.8,27.8,111.8,89.6,Terrence Jones,terrence-jones-1
2010-11,Washington,Pac-10,34,4,593,9.6,21.5,0.443,5.4,9.8,0.552,4.1,11.7,0.352,2.3,3.1,0.758,9,3.1,1.8,1.1,2.2,6.5,25.6,119.3,99.6,Terrence Ross,terrence-ross-1
2011-12,Washington,Pac-12,35,35,1088,11.2,24.4,0.457,7.4,14.4,0.518,3.7,10.1,0.371,3.7,4.9,0.766,11.7,2.5,2.3,1.7,3.6,5.1,29.9,113.6,96.8,Terrence Ross,terrence-ross-1
Career,Washington,,69,39,1681,10.6,23.4,0.453,6.7,12.7,0.528,3.9,10.7,0.364,3.2,4.2,0.764,10.7,2.7,2.1,1.5,3.1,5.6,28.3,115.4,97.8,Terrence Ross,terrence-ross-1
2013-14,Louisville,AAC,37,10,699,7.7,19.2,0.401,4.7,11.2,0.422,3,8,0.371,3.1,4.3,0.712,9.5,5.6,3.2,0.2,1.8,4.5,21.5,118,89.6,Terry Rozier,terry-rozier-1
