SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2015-16,Michigan State,Big Ten,35,34,982,10,20.9,0.481,3.2,6.7,0.482,6.8,14.2,0.481,3.8,4.6,0.84,4.4,3.2,0.9,0.1,1.8,3.1,30.7,134.5,103,Bryn Forbes,bryn-forbes-1
Career,Overall,,138,108,4010,8.7,19.3,0.449,3.7,7.9,0.47,5,11.4,0.435,4.4,5.4,0.821,5.2,2.8,1.3,0.1,2.5,3.4,26.7,121.2,106.2,Bryn Forbes,bryn-forbes-1
2012-13,Oklahoma,Big 12,27,13,679,7.1,18.4,0.388,5.5,11.4,0.481,1.7,7.1,0.238,2.6,3.2,0.833,10,4.4,2.9,0.6,3.9,4.4,18.6,98.5,99.9,Buddy Hield,buddy-hield-1
2013-14,Oklahoma,Big 12,33,33,1059,10.3,23.2,0.445,5.6,10.9,0.512,4.7,12.3,0.386,3.3,4.4,0.75,7.7,3.3,2.4,0.3,3.2,3.8,28.7,115.4,107.9,Buddy Hield,buddy-hield-1
2014-15,Oklahoma,Big 12,35,35,1135,10.7,26,0.412,5.9,12.5,0.469,4.9,13.5,0.359,5.6,6.8,0.823,9.9,3.5,2.5,0.4,3.6,3.2,31.9,112.3,94.2,Buddy Hield,buddy-hield-1
2015-16,Oklahoma,Big 12,37,37,1309,12.9,25.8,0.501,6.6,12,0.552,6.3,13.8,0.457,7.6,8.6,0.88,9.1,3.2,1.8,0.8,4.9,3.3,39.7,123.8,101.5,Buddy Hield,buddy-hield-1
Career,Oklahoma,,132,118,4182,10.8,24,0.448,6,11.7,0.508,4.8,12.3,0.39,5.2,6.2,0.836,9.1,3.5,2.3,0.5,3.9,3.6,31.5,115.4,101,Buddy Hield,buddy-hield-1
2015-16,Purdue,Big Ten,34,34,875,8.8,19,0.461,7.4,14.2,0.519,1.4,4.9,0.292,4.5,6.3,0.713,19,4.1,0.8,0.5,6.1,5.1,23.5,98,93.8,Caleb Swanigan,caleb-swanigan-1
2016-17,Purdue,Big Ten,35,35,1139,11.1,21.1,0.527,9.2,16.9,0.548,1.9,4.3,0.447,8.2,10.5,0.781,21.9,5.4,0.8,1.4,5.9,4.9,32.4,116.2,92.7,Caleb Swanigan,caleb-swanigan-1
Career,Purdue,,69,69,2014,10.1,20.2,0.501,8.4,15.7,0.537,1.7,4.5,0.376,6.6,8.7,0.76,20.7,4.8,0.8,1,6,4.9,28.6,109.1,93.2,Caleb Swanigan,caleb-swanigan-1
2010-11,Washington,Pac-10,33,6,523,9.6,22.8,0.419,2.9,6.2,0.466,6.7,16.7,0.401,2.7,3.3,0.806,7.2,3.1,1.5,1.1,2.2,4.4,28.5,124.4,101.7,C.J. Wilcox,cj-wilcox-1
2011-12,Washington,Pac-12,32,12,912,9.4,21.6,0.437,4.9,10.4,0.473,4.5,11.2,0.403,4.8,5.8,0.839,6.7,2.4,1.8,1.2,2.5,3.9,28.2,122.8,102.2,C.J. Wilcox,cj-wilcox-1
2012-13,Washington,Pac-12,34,34,1184,10.3,24.5,0.419,6.4,14.1,0.458,3.8,10.5,0.366,4.8,5.8,0.816,7.5,3.3,1.9,1.8,3.2,3.6,29.1,113.3,103.7,C.J. Wilcox,cj-wilcox-1
2013-14,Washington,Pac-12,32,31,1116,10.3,22.7,0.453,5.6,10.7,0.522,4.7,12,0.391,5.4,6.2,0.873,6.2,4.2,1.7,1.7,2.8,3.9,30.7,121.9,110,C.J. Wilcox,cj-wilcox-1
Career,Washington,,131,83,3735,10,23,0.433,5.3,11,0.481,4.7,12,0.389,4.7,5.5,0.84,6.9,3.3,1.7,1.5,2.8,3.9,29.3,119.6,104.9,C.J. Wilcox,cj-wilcox-1
2008-09,NC State,ACC,25,8,365,,,0.429,,,0.515,,,0.364,,,0.588,,,,,,,,,,C.J. Williams,cj-williams-2
2009-10,NC State,ACC,35,16,685,5.5,13.7,0.403,4.5,9.4,0.481,1,4.3,0.229,1.3,1.9,0.714,8.2,4,1.3,1.3,3.8,4.8,13.3,89,100.9,C.J. Williams,cj-williams-2
2010-11,NC State,ACC,31,4,546,6.7,14.5,0.463,6,11.6,0.523,0.6,2.9,0.222,1.6,2.4,0.682,8,3.8,1.6,0.8,2.9,4.3,15.7,102.1,107.9,C.J. Williams,cj-williams-2
2011-12,NC State,ACC,37,37,1150,8.1,16.2,0.5,6.4,11.1,0.571,1.7,5.1,0.343,2.2,2.7,0.808,7.2,3.4,2.1,0.7,2.4,4.5,20.1,118.2,104.8,C.J. Williams,cj-williams-2
Career,NC State,,128,65,2746,7.1,15.1,0.463,5.8,10.8,0.536,1.3,4.4,0.307,1.8,2.4,0.732,7.7,3.7,1.8,0.9,2.9,4.6,17.2,106.5,104.4,C.J. Williams,cj-williams-2
2010-11,New Mexico,MWC,31,1,301,6.6,11,0.6,6.4,10.6,0.604,0.2,0.4,0.5,2.6,4.4,0.591,11,1.4,1.2,1.6,2.8,9.2,15.9,114.8,100,Cameron Bairstow,cameron-bairstow-1
