"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c"
"okurme01",2009,29,7,"UTA","NBA","C",72,2409,3.4,1.6,0,0,0,0.05,0.95,0,0,0,120.45,2288.55
"okurme01",2010,30,8,"UTA","NBA","C",73,2149,3.6,-4.3,0,0,0,0.01,0.99,0,0,0,21.49,2127.51
"okurme01",2011,31,9,"UTA","NBA","C",13,168,-11.4,-9.8,0,0,0,0.42,0.58,0,0,0,70.56,97.44
"okurme01",2012,32,10,"NJN","NBA","C",17,454,-17.5,-12.5,0,0,0,0.02,0.98,0,0,0,9.08,444.92
"elyme01",2003,24,1,"LAC","NBA","C",52,802,3.1,9.5,0,0,0,0.06,0.94,0,0,0,48.12,753.88
"elyme01",2004,25,2,"LAC","NBA","PF",42,510,0.8,6.7,0,0,0,0.7,0.3,0,0,0,357,153
"elyme01",2005,26,3,"CHA","NBA","PF",79,1649,-4,4,0,0,0,0.44,0.57,0,0,0,725.56,939.93
"elyme01",2006,27,4,"CHA","NBA","PF",57,1348,-3.1,1.9,0,0,0,0.59,0.41,0,0,0,795.32,552.68
"elyme01",2007,28,5,"TOT","NBA","PF-C",30,309,-13.9,-17.2,0,0,0,0.62,0.38,0,0,0,191.58,117.42
"elyme01",2007,28,5,"CHA","NBA","PF",24,244,-12.9,-9.6,0,0,0,0.76,0.24,0,0,0,185.44,58.56
"elyme01",2007,28,5,"SAS","NBA","C",6,65,-18.2,-28,0,0,0,0.08,0.93,0,0,0,5.2,60.45
"elyme01",2008,29,6,"NOH","NBA","C",52,621,8.6,3.1,0,0,0,0.44,0.56,0,0,0,273.24,347.76
"elyme01",2009,30,7,"NOH","NBA","C",31,373,-5.5,-8.2,0,0,0,0.13,0.87,0,0,0,48.49,324.51
"elyme01",2011,32,8,"DEN","NBA","C",30,366,2.5,-2.8,0,0,0,0.06,0.94,0,0,0,21.96,344.04
"elyme01",2014,35,9,"NOP","NBA","C",2,27,-22.3,-19.9,0.88,0.12,0,0,0,23.76,3.24,0,0,0
"artesro01",2001,21,1,"CHI","NBA","SF",76,2363,-8,5.7,0,0.02,0.89,0.1,0,0,47.26,2103.07,236.3,0
"artesro01",2002,22,2,"TOT","NBA","SF",55,1642,-0.5,5.2,0,0.16,0.77,0.07,0,0,262.72,1264.34,114.94,0
"artesro01",2002,22,2,"CHI","NBA","SF",27,823,-6.1,4.3,0,0,0.88,0.12,0,0,0,724.24,98.76,0
"artesro01",2002,22,2,"IND","NBA","SF",28,819,5.1,6.3,0,0.32,0.66,0.02,0,0,262.08,540.54,16.38,0
"artesro01",2003,23,3,"IND","NBA","SF",69,2317,7.2,8.8,0,0.29,0.7,0.01,0,0,671.93,1621.9,23.17,0
"artesro01",2004,24,4,"IND","NBA","SF",73,2714,9.5,9.1,0,0.11,0.89,0.01,0,0,298.54,2415.46,27.14,0
"artesro01",2005,25,5,"IND","NBA","SF",7,291,6.5,6.1,0,0,0.91,0.08,0.01,0,0,264.81,23.28,2.91
"artesro01",2006,26,6,"TOT","NBA","SF",56,2207,7.9,8.5,0,0,0.94,0.05,0,0,0,2074.58,110.35,0
"artesro01",2006,26,6,"IND","NBA","SF",16,603,9.4,9,0,0,0.89,0.11,0,0,0,536.67,66.33,0
"artesro01",2006,26,6,"SAC","NBA","SF",40,1604,7.3,9.3,0,0.01,0.96,0.03,0,0,16.04,1539.84,48.12,0
"artesro01",2007,27,7,"SAC","NBA","SF",70,2641,0.7,7.6,0,0.01,0.71,0.28,0.01,0,26.41,1875.11,739.48,26.41
"artesro01",2008,28,8,"SAC","NBA","SF",57,2172,1.8,9.3,0,0,0.55,0.44,0.01,0,0,1194.6,955.68,21.72
"artesro01",2009,29,9,"HOU","NBA","SF",69,2452,7.1,6.9,0,0,0.87,0.13,0,0,0,2133.24,318.76,0
