SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
2013-14,Bowling Green State,MAC,32,31,1024,22.9,0.571,0.527,0.135,0.541,402,9.6,17.5,13.6,6.6,2.1,9.5,13.5,21.6,2,2.6,4.6,0.179,0.2,5.1,5.3,Richaun Holmes,richaun-holmes-1
2014-15,Bowling Green State,MAC,31,30,892,30.4,0.625,0.594,0.147,0.522,421,11.6,20.9,16.3,7.2,1.5,11.2,14.1,25.6,3.2,2,5.1,0.23,3.6,5.7,9.3,Richaun Holmes,richaun-holmes-1
Career,Bowling Green State,,95,63,2518,26.4,0.605,0.574,0.117,0.499,1022,11.5,18.9,15.2,5.9,1.8,11,13.7,21.8,6.9,5.7,12.6,0.2,1.6,5.5,7.1,Richaun Holmes,richaun-holmes-1
1996-97,Gonzaga,WCC,27,,381,,0.53,0.505,0.449,0.215,,,,,,,,15.7,,0.5,0.4,0.9,0.095,,,,Richie Frahm,richie-frahm-1
1997-98,Gonzaga,WCC,33,,,,0.613,0.584,0.592,0.24,,,,,,,,,,2.7,1.1,3.8,,,,,Richie Frahm,richie-frahm-1
1998-99,Gonzaga,WCC,35,,980,,0.592,0.56,0.574,0.265,,,,,,,,10.1,,3.2,1.3,4.5,0.184,,,,Richie Frahm,richie-frahm-1
1999-00,Gonzaga,WCC,35,,1165,,0.613,0.577,0.541,0.353,,,,,,,,11.7,,4.2,1.6,5.8,0.199,,,,Richie Frahm,richie-frahm-1
Career,Gonzaga,,130,,2526,,0.599,0.567,0.556,0.285,,,,,,,,11.5,,10.5,4.5,15,0.178,,,,Richie Frahm,richie-frahm-1
1991-92,Temple,A-10,30,1,537,,0.434,0.367,0.414,0.68,,,,,,,,18.7,,,,,,,,,Rick Brunson,rick-brunson-1
1992-93,Temple,A-10,33,,1205,,0.512,0.473,0.477,0.461,,,,,,,,14.9,,,,,,,,,Rick Brunson,rick-brunson-1
1993-94,Temple,A-10,31,,1221,,0.476,0.442,0.483,0.344,,,,,,,,13.9,,,,,,,,,Rick Brunson,rick-brunson-1
1994-95,Temple,A-10,30,,1149,,0.485,0.446,0.563,0.319,,,,,,,,12.4,,,,,,,,,Rick Brunson,rick-brunson-1
Career,Temple,,124,1,4112,,0.485,0.445,0.502,0.402,,,,,,,,14.3,,,,,,,,,Rick Brunson,rick-brunson-1
1997-98,Iowa,Big Ten,31,,,,0.537,0.504,0.245,0.348,,,,,,,,,,1.8,1.5,3.3,,,,,Ricky Davis,ricky-davis-1
Career,Iowa,,31,,,,0.537,0.504,0.245,0.348,,,,,,,,,,1.8,1.5,3.3,,,,,Ricky Davis,ricky-davis-1
2004-05,Notre Dame,Big East,14,0,66,,0.46,0.393,0.214,1,,,,13.7,9,,2.2,25.3,22,0,0.1,0.1,0.087,,,,Rob Kurz,rob-kurz-1
2005-06,Notre Dame,Big East,30,12,639,,0.573,0.508,0.191,0.573,,,,,,,,15.7,,1,1.2,2.1,0.134,,,,Rob Kurz,rob-kurz-1
2006-07,Notre Dame,Big East,31,30,868,,0.63,0.546,0.217,0.792,,,,,,,,14.1,,2.7,3.3,6,0.275,,,,Rob Kurz,rob-kurz-1
2007-08,Notre Dame,Big East,33,33,944,,0.594,0.52,0.356,0.514,,,,12.9,12.2,,3.2,16.4,21,2.3,2.9,5.2,0.221,,,,Rob Kurz,rob-kurz-1
Career,Notre Dame,,108,75,2517,,0.6,0.524,0.271,0.633,,,,12.9,12,,3.1,15.7,21,6,7.5,13.4,0.214,,,,Rob Kurz,rob-kurz-1
2007-08,Purdue,Big Ten,33,31,941,,0.629,0.569,0.382,0.451,,,,,,,,13.3,,2.9,3,5.9,0.251,,,,Robbie Hummel,robbie-hummel-1
2008-09,Purdue,Big Ten,32,27,944,,0.567,0.534,0.503,0.305,,,,13.8,14,,1.7,8.3,21.6,2.3,3,5.3,0.222,,,,Robbie Hummel,robbie-hummel-1
2009-10,Purdue,Big Ten,27,27,817,28,0.598,0.529,0.399,0.412,395,6.3,20.5,13.4,15.2,2.1,3.6,7.3,24.4,3.4,2,5.5,0.267,,,,Robbie Hummel,robbie-hummel-1
2011-12,Purdue,Big Ten,35,35,1128,25.7,0.54,0.495,0.404,0.295,533,5.5,24.3,14,12.6,1.3,4.2,5.7,26.3,4.2,1.4,5.6,0.197,6,2.1,8.1,Robbie Hummel,robbie-hummel-1
