BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,SALARY,SALARY_PROP_CAP,AGE,EXPERIENCE,TEAM,POSITION,GAMES_PLAYED,MINUTES_PLAYED,ON_COURT_PLUS_MINUS,OFF_COURT_PLUS_MINUS,PROP_PG,PROP_SG,PROP_SF,PROP_PF,PROP_C,MINUTES_PG,MINUTES_SG,MINUTES_SF,MINUTES_PF,MINUTES_C,POSITION_MINUTES,POSITION_NUMERIC,ADVANCED_POSITION_CLUSTER,ORPM,DRPM,RPM,WINS
willide02,2017-2018,-6.60666666666667,,,,,,83129.0,0.0008388988122268981,26,7,LAL,PF,2,9,-17.1,-15.7,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.45,8.55,0.0,PF,3.95,Wing,-2.11,1.25,-0.86,0.01
thomala01,2017-2018,-2.76,-4.3,,,,,6655325.0,0.0671624130866963,29,7,NYK,PF,73,1353,-6.3,-3.7,0.0,0.0,0.55,0.45,0.0,0.0,0.0,744.15,608.85,0.0,SF,3.45,Wing,-2.87,0.03,-2.84,0.24
silasxa01,2017-2018,-5.52666666666667,,,,,,74159.0,0.000748377786523771,30,2,BOS,SG,2,7,6.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,SG,2.0,Wing,-1.77,0.18,-1.59,0.01
buyckdw01,2017-2018,-2.93333333333333,,,,,,748160.0,0.0075500792185119,28,3,DET,PG,29,427,0.3,0.7,1.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,-1.98,-0.27,-2.25,0.23
stoneju01,2017-2018,-0.993333333333333,,,,,,1524305.0,0.0153825699090753,29,4,CHO,SG,23,175,8.2,8.3,0.02,0.41,0.58,0.0,0.0,3.5,71.75,101.5,0.0,0.0,SF,2.58,Wing,-1.38,0.79,-0.59,0.29
acyqu01,2017-2018,-1.96,-2.56,,,,,1709538.0,0.0172518543186703,27,6,BRK,PF,70,1359,-2.8,1.8,0.0,0.0,0.0,0.59,0.42,0.0,0.0,0.0,801.81,570.78,PF,4.46,Wing,-1.46,-0.38,-1.84,1.12
barneha02,2017-2018,-1.96666666666667,-0.92,,,,,23112004.0,0.23323548585672,25,6,DAL,PF,77,2634,-6.5,-9.3,0.0,0.06,0.38,0.56,0.0,0.0,158.04,1000.92,1475.04,0.0,PF,3.5,Wing,-0.49,-1.41,-1.9,2.04
bartowi01,2017-2018,0.793333333333333,-3.99333333333333,,,,,3533333.0,0.0356567366009708,27,6,DEN,SG,81,2683,1.3,0.3,0.13,0.84,0.03,0.0,0.0,348.79,2253.72,80.49,0.0,0.0,SG,1.9,Wing,1.77,-1.03,0.74,6.55
bealbr01,2017-2018,1.4,1.9066666666666698,,,,,23775506.0,0.23993123631336202,24,6,WAS,SG,82,2977,2.6,7.1,0.37,0.59,0.04,0.0,0.0,1101.49,1756.43,119.08,0.0,0.0,SG,1.67,Guard,1.99,-0.74,1.25,8.31
crowdja01,2017-2018,-1.98666666666667,-0.10666666666666699,,,,,6796117.0,0.0685832198036188,27,6,TOT,SF,80,2090,0.3,-3.5,0.0,0.11,0.8,0.09,0.0,0.0,229.9,1672.0,188.1,0.0,SF,2.98,Wing,-0.94,-1.19,-2.13,1.33
davisan02,2017-2018,5.43333333333333,6.65333333333333,,,,,23775506.0,0.23993123631336202,24,6,NOP,PF,75,2727,5.2,10.8,0.0,0.0,0.0,0.49,0.51,0.0,0.0,0.0,1336.23,1390.77,C,4.51,Big,1.85,3.7,5.55,15.56
drumman01,2017-2018,2.8,2.54666666666667,,,,,23775506.0,0.23993123631336202,24,6,DET,C,78,2625,-1.1,-2.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2625.0,C,5.0,Big,-0.08,1.53,1.45,7.59
fournev01,2017-2018,-0.146666666666667,-1.03333333333333,,,,,17000000.0,0.171556013038257,25,6,ORL,SF,57,1837,-3.8,2.5,0.0,0.07,0.89,0.04,0.0,0.0,128.59,1634.93,73.48,0.0,SF,2.97,Wing,1.32,-1.34,-0.02,3.76
greendr01,2017-2018,3.76,3.02666666666667,,,,,16400000.0,0.16550109493102402,27,6,GSW,PF,70,2287,6.9,1.4,0.0,0.0,0.48,0.51,0.01,0.0,0.0,1097.76,1166.37,22.87,PF,3.53,Wing,0.7,3.34,4.04,10.98
