SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2005-06,Florida State,ACC,29,28,723,7,13,0.54,6.5,11.4,0.573,0.5,1.6,0.31,6.6,9.4,0.706,12,1.2,1.7,1.7,4.5,5.1,21.2,Alexander Johnson,alexander-johnson-1
Career,Florida State,,92,73,1935,6.3,12.2,0.52,6.1,11.4,0.535,0.2,0.8,0.308,5.7,8.6,0.667,10,1.3,1.7,1.4,4.9,5.5,18.6,Alexander Johnson,alexander-johnson-1
2010-11,Eastern Illinois,OVC,25,5,294,4.9,9,0.545,4.9,9,0.545,0,0,,2.3,4.4,0.531,12.2,0.5,1.6,0.8,3.8,6,12.1,Alfonzo McKinnie,alfonzo-mckinnie-1
2011-12,Eastern Illinois,OVC,29,28,689,6.7,11.8,0.567,6.7,11.8,0.567,0,0,,3.8,5.2,0.722,11.8,0.6,0.9,1.4,2.6,5.2,17.1,Alfonzo McKinnie,alfonzo-mckinnie-1
2013-14,Green Bay,Horizon,9,0,115,5.2,12.2,0.429,3.1,7.7,0.409,2.1,4.5,0.462,1.7,2.1,0.833,8.7,0.7,1,1.4,0.7,6.6,14.3,Alfonzo McKinnie,alfonzo-mckinnie-1
2014-15,Green Bay,Horizon,33,20,713,5.9,13,0.453,4.7,9.4,0.5,1.2,3.6,0.328,1.9,3.6,0.508,9.9,0.3,0.9,0.9,2.6,6.3,14.8,Alfonzo McKinnie,alfonzo-mckinnie-1
Career,Overall,,96,53,1811,6,11.8,0.506,5.4,10.1,0.532,0.6,1.7,0.351,2.7,4.3,0.622,10.9,0.5,1,1.1,2.7,5.8,15.2,Alfonzo McKinnie,alfonzo-mckinnie-1
2016-17,Missouri State,MVC,33,33,997,6.8,13.9,0.488,5.2,9.7,0.531,1.6,4.1,0.388,4.4,6.5,0.677,14.1,2.5,0.8,0.2,3,3.3,19.5,Alize Johnson,alize-johnson-1
2017-18,Missouri State,MVC,33,33,1028,6.7,15.6,0.43,5.1,9.9,0.516,1.6,5.7,0.281,4.3,5.6,0.759,14.9,3.7,0.6,0.5,2.9,2.7,19.3,Alize Johnson,alize-johnson-1
Career,Missouri State,,66,66,2025,6.7,14.7,0.457,5.1,9.8,0.523,1.6,4.9,0.325,4.3,6,0.716,14.5,3.1,0.7,0.4,3,3,19.4,Alize Johnson,alize-johnson-1
1989-90,Tennessee,SEC,30,30,1083,7.5,17.2,0.437,4.4,10.1,0.44,3.1,7.1,0.432,4.4,5.5,0.805,3.3,4.7,1.3,0.4,3.7,2.6,22.5,Allan Houston,allan-houston-1
1990-91,Tennessee,SEC,34,34,1212,8.7,18.2,0.482,5.5,10.5,0.52,3.3,7.6,0.429,5.8,6.8,0.863,3.4,4.3,1.2,0.5,4.2,2.2,26.6,Allan Houston,allan-houston-1
1991-92,Tennessee,SEC,34,34,1236,7.2,15.9,0.453,4.6,9.6,0.476,2.7,6.3,0.418,6.1,7.3,0.84,5.8,3.6,1,0.5,3,2.2,23.2,Allan Houston,allan-houston-1
1992-93,Tennessee,SEC,30,30,1075,7.9,16.9,0.465,4.8,9.5,0.504,3.1,7.4,0.414,6.1,7,0.878,5.4,3.4,1,0.3,3.1,2.5,24.9,Allan Houston,allan-houston-1
Career,Tennessee,,128,128,4606,7.8,17,0.46,4.8,9.9,0.486,3,7.1,0.424,5.7,6.7,0.849,4.5,4,1.2,0.4,3.5,2.4,24.3,Allan Houston,allan-houston-1
