SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2004-05,George Washington,A-10,28,21,840,5,9.5,0.528,3.8,7,0.548,1.2,2.5,0.472,2.9,3.7,0.782,10.7,2.7,1.4,0.7,1.5,2.6,14.1,Mike Hall,mike-hall-1
2005-06,George Washington,A-10,30,30,961,4.5,10.2,0.443,2.8,5.7,0.493,1.7,4.4,0.377,3,3.9,0.785,9.4,3,1.3,0.5,1.7,2.9,13.7,Mike Hall,mike-hall-1
Career,George Washington,,117,110,3736,4.5,9.3,0.484,3.4,6.4,0.532,1.1,2.9,0.378,2.9,3.8,0.77,9.9,2.3,1.2,0.5,1.6,2.8,13,Mike Hall,mike-hall-1
2001-02,Rice,WAC,29,17,716,8.6,15,0.572,8.3,14.1,0.587,0.3,0.9,0.353,3.1,5,0.622,13.9,0.8,1.2,2,2.3,3.4,20.7,Mike Harris,mike-harris-1
2002-03,Rice,WAC,28,4,731,9.4,15.1,0.623,9,14.2,0.633,0.4,0.9,0.471,4.1,5.4,0.758,11.2,1.6,1.6,1.4,2.7,3,23.4,Mike Harris,mike-harris-1
2003-04,Rice,WAC,33,33,1016,8.5,14.2,0.603,7.9,12.9,0.615,0.6,1.3,0.485,5,7.2,0.699,11.6,1.6,1.8,0.9,2.4,3.1,22.8,Mike Harris,mike-harris-1
2004-05,Rice,WAC,31,31,1008,9.5,15.7,0.608,9.2,14.5,0.637,0.3,1.2,0.241,6,7.5,0.8,14.4,1.5,1.6,1.5,2.7,3.2,25.4,Mike Harris,mike-harris-1
Career,Rice,,121,85,3471,9,15,0.602,8.6,13.9,0.62,0.4,1.1,0.385,4.7,6.5,0.731,12.8,1.4,1.6,1.4,2.5,3.2,23.2,Mike Harris,mike-harris-1
1998-99,Florida,SEC,28,,677,6.8,13.8,0.494,5,8.6,0.575,1.8,5.1,0.356,4.7,6.7,0.702,8.6,3.4,2.1,0.4,4.1,3.1,20.1,Mike Miller,mike-miller-1
1999-00,Florida,SEC,37,,1058,6.6,13.9,0.476,4.8,8.7,0.559,1.8,5.3,0.338,4.7,6.4,0.729,9.2,3.4,1.7,0.6,2.7,2.6,19.7,Mike Miller,mike-miller-1
Career,Florida,,65,,1735,6.7,13.9,0.483,4.9,8.6,0.565,1.8,5.2,0.345,4.7,6.5,0.718,9,3.4,1.9,0.5,3.2,2.8,19.9,Mike Miller,mike-miller-1
2009-10,Bucknell,Patriot,30,16,745,6.2,13.5,0.462,5.9,12.4,0.476,0.3,1.1,0.3,3.1,3.9,0.806,7.9,1.2,0.5,3.5,1.6,3.3,15.9,Mike Muscala,mike-muscala-1
2010-11,Bucknell,Patriot,34,33,944,7.9,15.3,0.517,7.8,14.9,0.521,0.2,0.5,0.364,5.5,6.7,0.816,10.5,2,0.6,2.8,2.5,3.8,21.5,Mike Muscala,mike-muscala-1
2011-12,Bucknell,Patriot,35,35,1047,7.4,14.7,0.503,7.1,13.9,0.511,0.3,0.8,0.35,7.8,9.1,0.853,12.2,2.4,0.6,2.3,2.8,3.3,22.8,Mike Muscala,mike-muscala-1
2012-13,Bucknell,Patriot,34,34,1079,8.4,16.5,0.509,8.3,15.9,0.519,0.1,0.6,0.25,6.6,8.4,0.789,14,2.9,0.6,3,2.2,2.7,23.6,Mike Muscala,mike-muscala-1
Career,Bucknell,,133,118,3815,7.6,15.1,0.501,7.4,14.4,0.51,0.2,0.7,0.313,6,7.3,0.819,11.5,2.2,0.6,2.8,2.3,3.3,21.3,Mike Muscala,mike-muscala-1
2007-08,Virginia,ACC,32,21,579,4.4,9.9,0.441,4.1,9.2,0.444,0.3,0.7,0.4,3.6,5.1,0.703,11.6,1,1.4,0.8,1.7,4.8,12.6,Mike Scott,mike-scott-4
2008-09,Virginia,ACC,28,19,774,5.7,10.5,0.544,5.6,10.2,0.551,0.1,0.3,0.333,3.3,4.4,0.741,10.7,1.1,1.2,0.5,2.5,3.5,14.8,Mike Scott,mike-scott-4
2009-10,Virginia,ACC,28,25,768,7.4,14.7,0.505,7.3,14.4,0.507,0.2,0.4,0.429,2.4,3.3,0.719,10.5,1.8,0.9,0.4,2.4,2.8,17.4,Mike Scott,mike-scott-4
2010-11,Virginia,ACC,10,9,337,6.3,13.1,0.482,6.2,12.9,0.477,0.1,0.1,1,6.2,7,0.881,12.1,1.9,0.4,0.8,2.8,1.9,18.9,Mike Scott,mike-scott-4
2011-12,Virginia,ACC,32,32,999,8.6,15.3,0.563,8.4,14.5,0.577,0.2,0.8,0.3,5.6,6.9,0.808,10.6,1.5,0.8,0.6,2.7,2.2,23,Mike Scott,mike-scott-4
Career,Virginia,,130,106,3457,6.8,13,0.521,6.6,12.5,0.528,0.2,0.5,0.364,4.1,5.3,0.775,10.9,1.4,1,0.6,2.4,3,17.8,Mike Scott,mike-scott-4
2000-01,Georgetown,Big East,33,33,798,8,15.4,0.516,8,15.4,0.516,0,0,,5.2,8.4,0.619,12.3,3,1.3,1.2,3.8,3.4,21.2,Mike Sweetney,mike-sweetney-1
2001-02,Georgetown,Big East,29,28,883,8.4,14.8,0.567,8.4,14.7,0.569,0,0,0,8.2,10.5,0.788,13.1,2.2,1.1,2.2,4.1,2.8,25,Mike Sweetney,mike-sweetney-1
2002-03,Georgetown,Big East,34,34,1100,9.6,17.6,0.547,9.6,17.5,0.55,0,0.1,0,9,12.2,0.738,12.8,2.4,1.8,4,2.6,3.5,28.2,Mike Sweetney,mike-sweetney-1
Career,Georgetown,,96,95,2781,8.7,16.1,0.544,8.7,16,0.546,0,0.1,0,7.7,10.6,0.727,12.8,2.5,1.5,2.6,3.4,3.2,25.2,Mike Sweetney,mike-sweetney-1
2006-07,Iowa State,Big 12,31,30,1086,6.1,16.2,0.376,3.2,8.3,0.391,2.8,7.9,0.36,3.2,4.8,0.682,4.6,5.2,1.3,0.1,6.2,3.3,18.2,Mike Taylor,mike-taylor-1
Career,Iowa State,,31,30,1086,6.1,16.2,0.376,3.2,8.3,0.391,2.8,7.9,0.36,3.2,4.8,0.682,4.6,5.2,1.3,0.1,6.2,3.3,18.2,Mike Taylor,mike-taylor-1
2012-13,Virginia,ACC,30,2,416,8.4,15.8,0.53,8.1,15.3,0.528,0.3,0.5,0.6,2.6,3.3,0.794,8.3,1.3,0.3,1.7,2,3.8,19.6,Mike Tobey,mike-tobey-1
2013-14,Virginia,ACC,37,28,668,5.9,12.3,0.481,5.9,12.2,0.483,0.1,0.2,0.333,2.3,3.4,0.679,8.3,0.7,0.5,2.3,2,4.4,14.2,Mike Tobey,mike-tobey-1
2014-15,Virginia,ACC,34,11,582,6.4,12.4,0.514,6.4,12.4,0.517,0,0.1,0,3.2,4.3,0.746,11.8,0.8,0.6,1.5,1.8,4.5,16,Mike Tobey,mike-tobey-1
2015-16,Virginia,ACC,37,7,581,8.2,13.6,0.601,8.1,12.9,0.622,0.1,0.7,0.2,2.1,3.4,0.62,11.1,1,0.7,1.5,1.7,5.4,18.7,Mike Tobey,mike-tobey-1
Career,Virginia,,138,48,2247,7.1,13.3,0.531,7,13,0.537,0.1,0.3,0.316,2.5,3.6,0.704,9.9,0.9,0.6,1.8,1.9,4.6,16.8,Mike Tobey,mike-tobey-1
1997-98,Rice,WAC,28,,,,,0.357,,,0.368,,,0.304,,,0.621,,,,,,,,Mike Wilks,mike-wilks-1
1998-99,Rice,WAC,28,,967,2.8,7.2,0.391,2.5,6,0.414,0.3,1.2,0.276,3.6,5.2,0.688,5.1,4.8,2.4,0.4,,1.2,9.5,Mike Wilks,mike-wilks-1
1999-00,Rice,WAC,31,,783,5.7,14.4,0.399,3.9,8.6,0.45,1.8,5.7,0.321,3.6,5,0.732,4.3,3.6,2,0.1,,,16.9,Mike Wilks,mike-wilks-1
2000-01,Rice,WAC,30,29,1114,6.8,15.6,0.438,4.8,10.4,0.464,2,5.2,0.386,6,7.7,0.781,5.3,3.2,2.1,0.3,2.7,2.9,21.7,Mike Wilks,mike-wilks-1
Career,Rice,,117,29,2864,5.8,14.2,0.409,4.3,9.9,0.436,1.5,4.3,0.346,5,6.9,0.729,6,4.9,2.6,0.3,1.1,1.5,18.2,Mike Wilks,mike-wilks-1
1993-94,Nebraska,Big 8,14,,87,4.6,10.1,0.455,4.6,9.2,0.5,0,0.9,0,5.1,8.3,0.611,6,0.5,5.5,4.6,2.3,6,14.3,Mikki Moore,mikki-moore-1
1994-95,Nebraska,Big 8,32,,788,5.2,10.4,0.498,5.1,10,0.508,0.1,0.4,0.25,2.5,4.5,0.551,10.1,1.3,0.8,3.4,2.1,4.8,12.9,Mikki Moore,mikki-moore-1
1995-96,Nebraska,Big 8,35,,968,4.9,8.3,0.584,4.9,8.3,0.584,0,0,,3.3,4.8,0.687,8.5,1.5,1.1,2.9,2.7,4.6,13,Mikki Moore,mikki-moore-1
1996-97,Nebraska,Big 12,33,,1011,5.7,9.8,0.583,5.7,9.7,0.584,0,0.1,0.5,3.8,5.4,0.701,9.7,1.7,1.4,3.5,3.2,4.2,15.2,Mikki Moore,mikki-moore-1
Career,Nebraska,,114,,2854,5.2,9.5,0.553,5.2,9.3,0.559,0,0.2,0.25,3.3,5,0.655,9.3,1.5,1.2,3.3,2.7,4.5,13.8,Mikki Moore,mikki-moore-1
2016-17,Michigan State,Big Ten,28,27,895,7.9,16.3,0.486,5.4,9.8,0.55,2.5,6.4,0.389,2.8,4.1,0.685,10.4,2.6,0.8,1.9,2.9,2.3,21.1,Miles Bridges,miles-bridges-1
2017-18,Michigan State,Big Ten,34,33,1067,7.8,17.1,0.457,5.2,9.8,0.527,2.7,7.3,0.364,3.5,4.1,0.853,8.9,3.4,0.8,1,2.5,2,21.8,Miles Bridges,miles-bridges-1
Career,Michigan State,,62,60,1962,7.9,16.7,0.47,5.3,9.8,0.537,2.6,6.9,0.375,3.2,4.1,0.776,9.6,3.1,0.8,1.4,2.7,2.1,21.5,Miles Bridges,miles-bridges-1
2008-09,Duke,ACC,24,2,165,4.4,9.2,0.474,4.4,9.2,0.474,0,0,,1.5,2.7,0.545,8.2,0.2,1,2.9,4.8,9,10.2,Miles Plumlee,miles-plumlee-1
2009-10,Duke,ACC,40,24,654,5.1,9.1,0.561,5,9,0.558,0.1,0.1,1,2.4,3.6,0.661,12,0.7,1.2,1.6,2.6,6.3,12.6,Miles Plumlee,miles-plumlee-1
2010-11,Duke,ACC,37,16,617,4.7,8.9,0.522,4.7,8.9,0.522,0,0,,2.1,3.5,0.593,11.5,0.9,1.3,1.1,2.1,5.7,11.4,Miles Plumlee,miles-plumlee-1
2011-12,Duke,ACC,34,16,697,5.1,8.4,0.61,5.1,8.4,0.61,0,0,,2.8,4.4,0.632,13.9,1,1,1.8,2.4,4.5,13,Miles Plumlee,miles-plumlee-1
Career,Duke,,135,58,2133,4.9,8.8,0.557,4.9,8.8,0.557,0,0,1,2.3,3.8,0.625,12.2,0.8,1.2,1.6,2.6,5.7,12.2,Miles Plumlee,miles-plumlee-1
1996-97,Colorado State,WAC,29,,898,3.3,6.7,0.497,2.5,4.6,0.548,0.8,2.1,0.383,2.8,4,0.697,4.9,6.5,1.9,0.1,3.8,2.8,10.2,Milt Palacio,milt-palacio-1
1997-98,Colorado State,WAC,29,,,,,0.478,,,0.521,,,0.377,,,0.66,,,,,,,,Milt Palacio,milt-palacio-1
1998-99,Colorado State,WAC,30,,1073,7,15.6,0.45,5.5,11.1,0.492,1.5,4.4,0.345,5,6.7,0.754,5.7,4.8,2.2,0.1,4.4,2.7,20.6,Milt Palacio,milt-palacio-1
Career,Colorado State,,88,,1971,7.3,15.7,0.466,5.7,11.1,0.51,1.7,4.6,0.361,5.3,7.4,0.715,7.5,8.6,3.1,0.2,4.1,2.7,21.6,Milt Palacio,milt-palacio-1
2013-14,Loyola (IL),MVC,32,32,1050,5.9,13.8,0.424,4.3,9,0.483,1.5,4.8,0.315,5,7.1,0.699,5.1,4.4,1.4,0.9,4.1,3.4,18.2,Milton Doyle,milton-doyle-1
2014-15,Loyola (IL),MVC,25,17,677,5.6,11.5,0.485,3.8,7.4,0.52,1.7,4.1,0.42,4,6,0.657,4.8,6.3,1.8,0.9,4.5,3.3,16.8,Milton Doyle,milton-doyle-1
2015-16,Loyola (IL),MVC,32,17,906,5.4,13.1,0.412,4.1,8.9,0.458,1.3,4.2,0.316,3.7,5.2,0.709,5.3,4.2,1.2,0.7,4.5,4.2,15.8,Milton Doyle,milton-doyle-1
2016-17,Loyola (IL),MVC,32,32,1044,6.4,14.4,0.447,4.9,10,0.488,1.6,4.4,0.353,4.2,5.3,0.797,6.2,5.4,2.1,0.8,3.5,3,18.7,Milton Doyle,milton-doyle-1
Career,Loyola (IL),,121,98,3677,5.9,13.4,0.438,4.3,8.9,0.484,1.5,4.4,0.344,4.2,5.9,0.718,5.4,5,1.6,0.8,4.1,3.4,17.5,Milton Doyle,milton-doyle-1
2012-13,Michigan,Big Ten,39,8,769,7,11.7,0.598,7,11.7,0.598,0,0,,1.2,2.7,0.442,12.8,1.3,2.2,1.5,2.4,4.8,15.1,Mitch McGary,mitch-mcgary-1
2013-14,Michigan,Big Ten,8,4,198,6.1,11.1,0.545,6.1,10.7,0.566,0,0.4,0,3.2,4.8,0.667,13.3,2.4,3,1.2,2.6,5.1,15.4,Mitch McGary,mitch-mcgary-1
Career,Michigan,,47,12,967,6.8,11.5,0.588,6.8,11.5,0.592,0,0.1,0,1.6,3.1,0.513,12.9,1.5,2.4,1.4,2.5,4.8,15.2,Mitch McGary,mitch-mcgary-1
2001-02,Alabama,SEC,35,35,1121,4.4,11.7,0.376,3.2,7.2,0.448,1.2,4.5,0.262,3,3.5,0.857,4.9,5.7,2.1,0.1,3.7,3.2,13,Mo Williams,mo-williams-1
2002-03,Alabama,SEC,29,29,1038,6.2,14.3,0.431,4,7.4,0.539,2.2,6.9,0.317,3.8,4.5,0.838,4.4,4.3,1.4,0.2,3.3,2.4,18.3,Mo Williams,mo-williams-1
Career,Alabama,,64,64,2159,5.2,12.9,0.405,3.6,7.3,0.492,1.7,5.7,0.294,3.4,4,0.847,4.6,5,1.8,0.2,3.5,2.8,15.5,Mo Williams,mo-williams-1
2017-18,Texas,Big 12,30,29,906,6.4,11.9,0.541,5.8,9.7,0.603,0.6,2.3,0.275,3.6,5.3,0.681,14,0.7,1,4.9,2,3.4,17.1,Mohamed Bamba,mohamed-bamba-1
Career,Texas,,30,29,906,6.4,11.9,0.541,5.8,9.7,0.603,0.6,2.3,0.275,3.6,5.3,0.681,14,0.7,1,4.9,2,3.4,17.1,Mohamed Bamba,mohamed-bamba-1
2013-14,Iowa State,Big 12,36,17,1013,3,7.1,0.43,1.9,4.3,0.445,1.1,2.7,0.406,2.4,2.8,0.847,3.6,5.3,1.8,0.3,1.1,2.4,9.6,Monte Morris,monte-morris-1
2014-15,Iowa State,Big 12,34,34,1153,5.4,10.6,0.507,4.3,7.8,0.547,1.1,2.8,0.395,2.2,2.9,0.753,4.1,6.1,2.2,0.5,1.3,1.6,14.1,Monte Morris,monte-morris-1
2015-16,Iowa State,Big 12,35,35,1331,5.6,11.6,0.487,4.5,8.4,0.536,1.1,3.2,0.358,2.1,2.9,0.729,4.1,7.2,1.9,0.3,1.7,1.7,14.5,Monte Morris,monte-morris-1
2016-17,Iowa State,Big 12,35,35,1237,7,15,0.465,5.2,10.4,0.503,1.7,4.6,0.378,2.9,3.6,0.802,5.5,7,1.7,0.3,1.4,1.6,18.6,Monte Morris,monte-morris-1
Career,Iowa State,,140,121,4734,5.4,11.3,0.476,4.1,7.9,0.517,1.3,3.4,0.381,2.4,3.1,0.78,4.4,6.5,1.9,0.3,1.4,1.8,14.4,Monte Morris,monte-morris-1
2012-13,Louisville,Big East,40,3,649,6,10.4,0.577,6,10.4,0.577,0,0,,2,3.9,0.508,8.9,0.5,1.2,1.7,1.4,3.1,13.9,Montrezl Harrell,montrezl-harrell-1
2013-14,Louisville,AAC,37,37,1083,8.2,13.5,0.609,8.2,13.4,0.609,0.1,0.1,0.667,2.6,5.7,0.464,11.5,1.7,1.4,1.8,2,3.3,19.2,Montrezl Harrell,montrezl-harrell-1
2014-15,Louisville,ACC,35,35,1229,6.9,12.2,0.566,6.6,11,0.602,0.3,1.2,0.243,3.7,6.2,0.597,10.4,1.6,1.1,1.4,2.2,2.4,17.9,Montrezl Harrell,montrezl-harrell-1
Career,Louisville,,112,75,2961,7.2,12.3,0.586,7.1,11.8,0.6,0.1,0.5,0.275,2.9,5.5,0.533,10.5,1.4,1.2,1.6,2,2.9,17.5,Montrezl Harrell,montrezl-harrell-1
1994-95,Auburn,SEC,29,27,1009,4.9,12.4,0.397,2.7,6,0.444,2.3,6.4,0.354,2.3,3.3,0.699,4.6,5.7,2,0,2.9,2.2,14.4,Moochie Norris,moochie-norris-1
Career,Auburn,,29,27,1009,4.9,12.4,0.397,2.7,6,0.444,2.3,6.4,0.354,2.3,3.3,0.699,4.6,5.7,2,0,2.9,2.2,14.4,Moochie Norris,moochie-norris-1
2015-16,Michigan,Big Ten,30,0,258,5.7,9.5,0.607,5.4,7.6,0.714,0.3,1.9,0.167,1.6,2.8,0.556,7.4,0.6,0.9,0.9,2.5,7.3,13.3,Moritz Wagner,moritz-wagner-1
2016-17,Michigan,Big Ten,38,38,908,7.4,13.2,0.56,5.4,8.2,0.661,2,5,0.395,3.4,4.7,0.726,7,0.9,1.7,0.6,2.4,4.5,20.2,Moritz Wagner,moritz-wagner-1
2017-18,Michigan,Big Ten,39,39,1078,8,15.2,0.528,5.7,9.2,0.614,2.3,5.9,0.394,2.8,4,0.694,10.3,1.2,1.4,0.7,2.1,4.5,21.2,Moritz Wagner,moritz-wagner-1
Career,Michigan,,107,77,2244,7.5,13.7,0.547,5.5,8.6,0.643,2,5.1,0.385,2.9,4.1,0.698,8.6,1,1.5,0.7,2.2,4.8,19.9,Moritz Wagner,moritz-wagner-1
2003-04,Rice,WAC,30,0,299,7.5,16.5,0.455,6.2,11.6,0.529,1.3,4.8,0.278,3.1,3.9,0.793,4,2.3,0.9,1.5,4.8,3.7,19.4,Morris Almond,morris-almond-1
2004-05,Rice,WAC,31,0,1006,3.3,6.4,0.525,2.6,4.8,0.545,0.7,1.6,0.462,1.5,1.9,0.809,2.6,1.3,0.2,0.4,1.5,1.8,8.9,Morris Almond,morris-almond-1
2005-06,Rice,CUSA,28,24,905,9.9,19.8,0.5,7.8,15,0.518,2.1,4.8,0.444,5.1,6.5,0.795,5,1.4,1.7,0.8,3.5,2.9,27,Morris Almond,morris-almond-1
2006-07,Rice,CUSA,32,32,1069,9.8,20.4,0.483,7,14,0.496,2.9,6.3,0.456,9,10.7,0.846,7.9,1.4,1.4,0.9,4.1,2.5,31.6,Morris Almond,morris-almond-1
Career,Rice,,121,56,3279,7.6,15.6,0.492,5.8,11.3,0.514,1.9,4.3,0.435,5.1,6.2,0.824,5.1,1.5,1.1,0.8,3.2,2.5,22.3,Morris Almond,morris-almond-1
1995-96,Michigan State,Big Ten,4,,12,3.3,3.3,1,3.3,3.3,1,0,0,,0,3.3,0,10,6.7,0,0,3.3,6.7,6.7,Morris Peterson,morris-peterson-1
1996-97,Michigan State,Big Ten,29,,518,5.6,12.8,0.434,4.3,8.3,0.523,1.2,4.6,0.271,2.8,3.9,0.706,7.5,1.4,1.5,0.5,1.8,4.6,15.1,Morris Peterson,morris-peterson-1
1997-98,Michigan State,Big Ten,27,,,,,0.445,,,0.513,,,0.333,,,0.552,,,,,,,,Morris Peterson,morris-peterson-1
1998-99,Michigan State,Big Ten,38,,907,8.4,15.1,0.554,7.4,12.5,0.592,1,2.6,0.373,5,6.2,0.814,9.5,1.6,1.5,1,2.7,4.3,22.8,Morris Peterson,morris-peterson-1
1999-00,Michigan State,Big Ten,39,,1136,7.7,16.5,0.465,4.7,9.5,0.494,3,7,0.425,4.8,6.2,0.773,8.3,1.7,1.6,0.4,3,2.8,23.1,Morris Peterson,morris-peterson-1
Career,Michigan State,,137,,2573,8.7,18,0.484,6.5,12,0.537,2.3,6,0.377,4.9,6.6,0.746,10,2,1.8,0.7,2.6,3.7,24.7,Morris Peterson,morris-peterson-1
2003-04,Arizona,Pac-10,30,28,906,4.7,9.1,0.519,3.9,7,0.557,0.8,2.1,0.396,2.2,2.7,0.803,4.8,6,0.8,0,3.8,3,12.5,Mustafa Shakur,mustafa-shakur-1
2004-05,Arizona,Pac-10,37,37,1068,3.9,9.2,0.423,2.7,6.1,0.445,1.2,3.1,0.378,2.2,3,0.738,5.1,6.2,1.6,0.1,3.8,2.7,11.2,Mustafa Shakur,mustafa-shakur-1
2005-06,Arizona,Pac-10,33,33,1013,4.7,11.1,0.423,3.8,8.3,0.455,0.9,2.8,0.333,4.3,5.3,0.806,4.8,6.1,1.9,0.2,3.5,2.9,14.6,Mustafa Shakur,mustafa-shakur-1
2006-07,Arizona,Pac-10,31,31,1079,4.3,9.5,0.455,3.4,6.6,0.514,1,3,0.325,4,5.1,0.788,4.6,8,1.7,0.2,4.2,2.7,13.6,Mustafa Shakur,mustafa-shakur-1
Career,Arizona,,131,129,4066,4.4,9.7,0.452,3.4,7,0.49,1,2.8,0.355,3.2,4.1,0.786,4.8,6.6,1.5,0.1,3.8,2.8,13,Mustafa Shakur,mustafa-shakur-1
2007-08,Pepperdine,WCC,32,24,775,4.3,11.4,0.376,1.4,3.7,0.38,2.9,7.7,0.373,1.9,2.5,0.735,4.4,2,2.7,0.5,2.3,3.8,13.3,Mychel Thompson,mychel-thompson-1
2008-09,Pepperdine,WCC,32,30,910,4.9,14.4,0.339,3.3,9.3,0.36,1.5,5.1,0.302,2.2,2.9,0.773,5,1.8,1.2,0.8,2.8,2.6,13.5,Mychel Thompson,mychel-thompson-1
2009-10,Pepperdine,WCC,31,27,976,5.2,14.6,0.354,3.2,8.6,0.373,2,6,0.327,2.7,3.6,0.747,6.3,2.5,1.2,0.8,2,2.8,15,Mychel Thompson,mychel-thompson-1
2010-11,Pepperdine,WCC,33,33,1061,6.3,17.4,0.361,4.3,10.8,0.399,2,6.6,0.301,3.6,4.6,0.772,7.3,2.3,1.4,1.2,2.2,2.4,18.2,Mychel Thompson,mychel-thompson-1
Career,Pepperdine,,128,114,3722,5.2,14.7,0.357,3.2,8.4,0.38,2.1,6.3,0.326,2.7,3.5,0.76,5.9,2.2,1.6,0.8,2.3,2.8,15.2,Mychel Thompson,mychel-thompson-1
2011-12,Illinois,Big Ten,22,0,179,6.3,13.9,0.452,5.4,8.3,0.649,0.9,5.6,0.16,2.2,3.4,0.667,5.6,0.4,1.6,0.7,2,5.1,15.6,Myke Henry,myke-henry-1
2012-13,Illinois,Big Ten,35,0,371,4.1,11.9,0.345,2,5.4,0.38,2,6.5,0.317,1.8,2.6,0.708,8,0.5,1.4,0.8,2.5,4.2,12.1,Myke Henry,myke-henry-1
2014-15,DePaul,Big East,32,32,898,6.6,14.2,0.464,5.2,10.5,0.496,1.4,3.7,0.373,2.5,3.7,0.687,7.8,1.7,1.6,0.8,3.1,5,17.1,Myke Henry,myke-henry-1
2015-16,DePaul,Big East,31,31,896,7.6,14.2,0.536,6.6,11.5,0.576,1,2.7,0.367,2.8,3.9,0.724,8.6,1.4,1.2,0.4,3.4,4.2,19,Myke Henry,myke-henry-1
Career,Overall,,120,63,2344,6.6,13.8,0.475,5.3,9.9,0.531,1.3,3.9,0.333,2.5,3.6,0.703,7.9,1.3,1.4,0.6,3,4.6,16.9,Myke Henry,myke-henry-1
2014-15,Texas,Big 12,34,7,755,6.2,13.6,0.455,5.3,10.3,0.513,0.9,3.3,0.274,5,5.9,0.839,11.8,1.1,0.5,4.7,2.5,4.3,18.3,Myles Turner,myles-turner-1
Career,Texas,,34,7,755,6.2,13.6,0.455,5.3,10.3,0.513,0.9,3.3,0.274,5,5.9,0.839,11.8,1.1,0.5,4.7,2.5,4.3,18.3,Myles Turner,myles-turner-1
2002-03,Washington,Pac-10,23,10,576,8.3,18.1,0.462,7,12.9,0.543,1.3,5.1,0.257,2.8,4,0.719,6.2,3.6,1.8,0,2.9,4.2,20.8,Nate Robinson,nate-robinson-1
2003-04,Washington,Pac-10,31,21,833,6.6,14.8,0.447,4.4,8.6,0.514,2.2,6.2,0.354,4.2,4.9,0.853,5.8,4,2.5,0.1,2.9,3.6,19.6,Nate Robinson,nate-robinson-1
2004-05,Washington,Pac-10,35,35,1101,6.8,14.8,0.463,4.6,8.9,0.514,2.3,5.8,0.385,4.9,6.3,0.782,4.9,5.4,2.2,0.2,2.6,3.6,20.9,Nate Robinson,nate-robinson-1
Career,Washington,,89,66,2510,7.1,15.5,0.457,5.1,9.7,0.523,2,5.8,0.348,4.2,5.3,0.793,5.5,4.5,2.2,0.1,2.8,3.7,20.4,Nate Robinson,nate-robinson-1
2009-10,South Dakota State,Summit,29,11,703,4.6,11.9,0.381,3.5,8.9,0.389,1.1,3,0.358,6.4,7.7,0.831,5.7,4.8,2,0.5,3.4,3,16.6,Nate Wolters,nate-wolters-1
2010-11,South Dakota State,Summit,31,31,1029,7.8,17.5,0.448,6.2,13.4,0.46,1.6,4,0.408,6.2,7.8,0.796,5.5,7.3,1.6,0.3,2.6,2.4,23.5,Nate Wolters,nate-wolters-1
2011-12,South Dakota State,Summit,34,34,1216,8.2,18.4,0.448,7.1,13.8,0.515,1.1,4.5,0.241,6.2,7.9,0.783,5.7,6.6,1.9,0.1,2.5,2.1,23.7,Nate Wolters,nate-wolters-1
2012-13,South Dakota State,Summit,33,33,1256,7.7,15.9,0.485,5.7,10.5,0.539,2,5.4,0.379,6,7.3,0.813,5.9,6.1,1.8,0.1,2.5,1.6,23.4,Nate Wolters,nate-wolters-1
Career,South Dakota State,,127,109,4204,7.4,16.3,0.45,5.9,11.9,0.49,1.5,4.4,0.342,6.2,7.7,0.803,5.7,6.4,1.8,0.2,2.7,2.2,22.4,Nate Wolters,nate-wolters-1
2012-13,Iowa State,Big 12,18,0,124,2.6,7.4,0.348,1,1.6,0.6,1.6,5.8,0.278,1.3,1.3,1,4.5,5.8,1.9,0,4.8,3.5,8.1,Naz Mitrou-Long,nazareth-mitrou-long-1
2013-14,Iowa State,Big 12,36,7,731,4.7,10.9,0.432,1.2,2.1,0.564,3.5,8.8,0.4,1,1.5,0.643,3.1,2.2,0.3,0.2,0.9,3.6,13.9,Naz Mitrou-Long,nazareth-mitrou-long-1
2014-15,Iowa State,Big 12,34,33,934,4.9,10.9,0.449,1.6,2.4,0.649,3.3,8.4,0.391,1.7,2.3,0.755,4.3,2.9,1.2,0.1,2,3.1,14.8,Naz Mitrou-Long,nazareth-mitrou-long-1
2015-16,Iowa State,Big 12,8,8,253,5.8,13.8,0.425,3.3,5.1,0.656,2.5,8.7,0.291,0.9,1.6,0.6,3.6,2.4,0.8,0.3,2.7,2.5,15.2,Naz Mitrou-Long,nazareth-mitrou-long-1
2016-17,Iowa State,Big 12,35,35,1164,6.4,13.4,0.473,3,4.7,0.64,3.4,8.8,0.384,2.1,2.7,0.795,5.5,3.2,1.5,0,2,2.6,18.2,Naz Mitrou-Long,nazareth-mitrou-long-1
Career,Iowa State,,131,83,3206,5.4,11.9,0.451,2.1,3.4,0.632,3.2,8.5,0.38,1.6,2.2,0.751,4.4,2.9,1.1,0.1,1.9,3,15.6,Naz Mitrou-Long,nazareth-mitrou-long-1
1995-96,Kentucky,SEC,16,,88,5.9,13.2,0.448,5.9,13.2,0.448,0,0,,5,10.9,0.458,10.9,1.4,1.8,3.6,8.2,8.2,16.8,Nazr Mohammed,nazr-mohammed-1
